STUDY_ID	SAMPLE_ID	CD274
blca_tcga	TCGA-ZF-AA5P-01	-0.3277
blca_tcga	TCGA-5N-A9KI-01	-0.3363
blca_tcga	TCGA-5N-A9KM-01	-0.4166
blca_tcga	TCGA-DK-AA6R-01	1.248
blca_tcga	TCGA-DK-AA6X-01	-0.3678
blca_tcga	TCGA-G2-AA3F-01	-0.4002
blca_tcga	TCGA-UY-A8OB-01	0.3246
blca_tcga	TCGA-XF-A9SK-01	-0.3808
blca_tcga	TCGA-XF-A9SM-01	0.7531
blca_tcga	TCGA-XF-A9ST-01	-0.0091
blca_tcga	TCGA-XF-A9SV-01	-0.4243
blca_tcga	TCGA-XF-A9SW-01	-0.3859
blca_tcga	TCGA-XF-A9SY-01	4.5491
blca_tcga	TCGA-XF-A9T2-01	-0.4046
blca_tcga	TCGA-XF-A9T3-01	0.2679
blca_tcga	TCGA-XF-A9T5-01	-0.102
blca_tcga	TCGA-XF-A9T6-01	-0.0883
blca_tcga	TCGA-XF-AAME-01	-0.2243
blca_tcga	TCGA-XF-AAMG-01	-0.3628
blca_tcga	TCGA-XF-AAMH-01	-0.421
blca_tcga	TCGA-XF-AAMJ-01	-0.3801
blca_tcga	TCGA-XF-AAML-01	-0.2293
blca_tcga	TCGA-XF-AAMQ-01	-0.2386
blca_tcga	TCGA-XF-AAMR-01	-0.3686
blca_tcga	TCGA-XF-AAMT-01	-0.1814
blca_tcga	TCGA-XF-AAMW-01	0.3812
blca_tcga	TCGA-XF-AAMX-01	-0.3851
blca_tcga	TCGA-XF-AAMY-01	-0.3976
blca_tcga	TCGA-XF-AAMZ-01	-0.4071
blca_tcga	TCGA-XF-AAN0-01	-0.3593
blca_tcga	TCGA-XF-AAN1-01	-0.4039
blca_tcga	TCGA-XF-AAN2-01	0.6789
blca_tcga	TCGA-XF-AAN3-01	-0.3423
blca_tcga	TCGA-XF-AAN4-01	0.6519
blca_tcga	TCGA-XF-AAN5-01	0.5383
blca_tcga	TCGA-XF-AAN7-01	-0.3851
blca_tcga	TCGA-XF-AAN8-01	-0.3499
blca_tcga	TCGA-YF-AA3M-01	-0.3502
blca_tcga	TCGA-ZF-A9R5-01	-0.3884
blca_tcga	TCGA-ZF-A9RD-01	0.1163
blca_tcga	TCGA-ZF-A9RN-01	0.7656
blca_tcga	TCGA-ZF-AA58-01	1.5703
blca_tcga	TCGA-ZF-AA5N-01	-0.3588
blca_tcga	TCGA-BL-A0C8-01	-0.3866
